"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Mall St","4485",42.464616,-70.963189
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Market Square","4486",42.463104,-70.965208
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Market Square","4486",42.463104,-70.965208
"426","Local Bus","Central Square, Lynn - Haymarket or Wonderland Station","743 Western Ave","4487",42.461928,-70.966695
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","743 Western Ave","4487",42.461928,-70.966695
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","743 Western Ave","4487",42.461928,-70.966695
"455","Local Bus","Salem Depot - Wonderland Station","743 Western Ave","4487",42.461928,-70.966695
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","743 Western Ave","4487",42.461928,-70.966695
"442","Local Bus","Marblehead - Wonderland Station via Humphrey Street","743 Western Ave","4487",42.461928,-70.966695
"426","Local Bus","Central Square, Lynn - Haymarket or Wonderland Station","Western Ave @ Breed Square","4488",42.459784,-70.968935
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Breed Square","4488",42.459784,-70.968935
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Breed Square","4488",42.459784,-70.968935
"455","Local Bus","Salem Depot - Wonderland Station","Western Ave @ Breed Square","4488",42.459784,-70.968935
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Western Ave @ Breed Square","4488",42.459784,-70.968935
"442","Local Bus","Marblehead - Wonderland Station via Humphrey Street","Western Ave @ Breed Square","4488",42.459784,-70.968935
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Summer St","4489",42.45844,-70.970423
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Summer St","4489",42.45844,-70.970423
"455","Local Bus","Salem Depot - Wonderland Station","Western Ave @ Summer St","4489",42.45844,-70.970423
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Western Ave @ Summer St","4489",42.45844,-70.970423
"442","Local Bus","Marblehead - Wonderland Station via Humphrey Street","Western Ave @ Summer St","4489",42.45844,-70.970423
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Thetford Ave","449",42.286219,-71.079593
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Albion St","4490",42.457611,-70.971438
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Albion St","4490",42.457611,-70.971438
"455","Local Bus","Salem Depot - Wonderland Station","Western Ave @ Albion St","4490",42.457611,-70.971438
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Western Ave @ Albion St","4490",42.457611,-70.971438
"442","Local Bus","Marblehead - Wonderland Station via Humphrey Street","Western Ave @ Albion St","4490",42.457611,-70.971438
